"number","hanzi","pinyin","meaning","source_pdf_rows"
"1","阿姨","āyí","aunt; polite address for a middle-aged woman","1"
"2","啊","a","ah; sentence-final modal particle","2"
"3","矮","ǎi","short (in height)","3"
"4","爱","ài","to love; to like","4"
"5","爱好","àihào","hobby; interest","5"
"6","安静","ānjìng","quiet","6"
"7","八","bā","eight","7"
"8","把","bǎ","grammar marker placing the object before the verb; to hold; measure word for objects with handles","8"
"9","爸爸","bàba","dad; father","9"
"10","吧","ba","sentence-final particle for suggestions or softening","10"
"11","白","bái","white","11"
"12","百","bǎi","hundred","12"
"13","班","bān","class; work shift","13"
"14","搬","bān","to move; to carry","14"
"15","半","bàn","half","15"
"16","办法","bànfǎ","way; method","16"
"17","办公室","bàngōngshì","office","17"
"18","帮忙","bāngmáng","to help; to do someone a favor","18"
"19","帮助","bāngzhù","to help; help; assistance","19"
"20","包","bāo","bag; package; to wrap","20"
"21","饱","bǎo","full (after eating)","21"
"22","报纸","bàozhǐ","newspaper","22"
"23","杯子","bēizi","cup; glass","23"
"24","北方","běifāng","north; northern region","24"
"25","北京","běijīng","Beijing","25"
"26","被","bèi","passive-voice marker; by","26"
"27","本","běn","measure word for books and bound volumes","27"
"28","鼻子","bízi","nose","28"
"29","比","bǐ","comparison marker; compared with","29"
"30","比较","bǐjiào","relatively; comparatively; to compare","30"
"31","比赛","bǐsài","match; competition; to compete","31"
"32","必须","bìxū","must; have to","32"
"33","变化","biànhuà","change; variation; to change","33"
"34","表示","biǎoshì","to express; to indicate","34"
"35","表演","biǎoyǎn","to perform; performance","35"
"36","别","bié","don't; other","36"
"37","别人","biéren","other people; others","37"
"38","宾馆","bīnguǎn","hotel","38"
"39","冰箱","bīngxiāng","refrigerator; fridge","39"
"40","不客气","búkèqi","you're welcome; don't mention it","40"
"41","不","bù","not; no","41"
"42","才","cái","only then; not until; just","42"
"43","菜","cài","dish; vegetable","43"
"44","菜单","càidān","menu","44"
"45","参加","cānjiā","to participate in; to join","45"
"46","草","cǎo","grass","46"
"47","层","céng","floor; storey; layer","47"
"48","茶","chá","tea","48"
"49","差","chà","poor; bad; to differ; to lack","49"
"50","长","cháng","long","50"
"51","唱歌","chànggē","to sing","51"
"52","超市","chāoshì","supermarket","52"
"53","衬衫","chènshān","shirt","53"
"54","成绩","chéngjì","grade; result; achievement","54"
"55","城市","chéngshì","city","55"
"56","吃","chī","to eat","56"
"57","迟到","chídào","to be late","57"
"58","出","chū","to go or come out; to exit","58"
"59","出现","chūxiàn","to appear; to occur","59"
